ACTOR/WHO	QUANTITY	VERB	OBJECT/PROPERTY	QUALIFIER	[FILL] has a 	POSITIVE/NEGATIVE	[FILL] effect/impact on/for	ADJ	PATIENT	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
		harming	something		has a 	negative	impact on; effect on		that something							57d4-79ba-a97d-0f9a
waste					has a 	negative	impact on the		environment							2d23-54ce-1de1-e3a8
		recycling			has a 	positive	impact on the		environment							da14-61d8-ad00-8a01
		recycling	resources; nonrenewable resources		has a 	positive	impact on the		environment; conservation of those resources							813f-2778-ed53-0c9f
		planting	trees		has a 	positive	impact on an		ecosystem							53a9-7d7d-dbcb-98aa
		planting	native plants		has a 	positive	impact on an		ecosystem							1f99-d3ee-86cc-008f
		eating	food that contains pesticides	can	have a	negative	impact on		humans							1900-f929-b3a7-b605
		cutting down	trees		has a 	negative	impact on an		ecosystem; organisms living in an ecosystem							f178-8a67-81c1-e3fb
humans		changing	ecosystems;environments	usually	has a 	negative	impact on an		ecosystem; organisms living in an ecosystem							f4dc-5030-6255-a1f8
		erosion	of soil		has a 	negative	impact on the		environment; soil quality							1fc9-87b3-4b09-6451
		helping	something		has a 	positive	impact on		that something							b5b8-ce64-6568-4a6c
		harming	an animal species		has a 	negative	impact on the		population size of that species							8bb1-de8d-5925-74c6
exercise					has a 	positive	impact on a		body's strength							768d-b035-c9fc-da67
rest					has a 	positive	impact on a		health							50de-3baf-f64e-f3fb
	too much		water		has a 	negative	impact on the		growth			of a plant				b421-66e0-479f-cc4e
		crop rotation			has a 	positive	impact on		soil quality							025a-3b8a-b5f2-f320
		protecting	a living thing		has a 	positive	impact on	that living thing's	survival; health							1992-cbd3-6534-a7f7
the looseness of soil					has a	positive	impact on a	plant's roots'	growth			in that soil				e7ae-7d71-673a-aff7
		staying	warm		has a	positive	impact on an	animal's	survival; health							2aff-8cb6-a4f9-5fd9
			exercise		has a	positive	impact on a	human's	health							5875-4a46-39fe-053f
		sleeping		all day	has a 	negative	impact on a	human's	health							33a9-52c2-ab75-070d
			acid rain		has a 	negative	impact on 		water quality							8c01-39ba-c26c-f060
