PROCESS_NAME	[FILL] is when	ACTOR/THING	PROPERTY/OBJECT	[FILL] can/can be	QUANTIFIER	VERB	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
		electromagnets		can be		powered				by	electricity					4ca4-9068-7f5a-d63a
swimming	is when	humans; animals		can		move						in water				e16d-34f6-506f-e5b0
		eyes		can		sense;detect	light energy	for	seeing							fdba-70d0-fcc6-e529
literacy	is when	humans		can		read and write										63ed-2a75-b0ec-771b
	the	brain		can		control	animal body			through the	nervous system					90b2-edef-d99f-687c
		two people	that are far apart	can		communicate				through a	telephone					c04b-7952-e97c-e5a7
		living things		can	all	reproduce										1ef5-5d4e-fdf8-9d2a
		shelter		can		protect	animals;humans					from weather				489e-9103-cfb3-9d2e
		mechanical energy	exerted by an object	can		be used to push or pull	another object									77b1-b251-ee0c-a4b4
		the shape 	of an object	can be		discovered				through	feeling that object; touching that object					064c-653b-1ec4-4e84
		a human		can		pedal	a bicycle									c4de-157a-1fb4-0ec8
	the	color	of an object	can be		discovered				by	looking at that object					a10f-b463-32a7-a229
flexibility	means the	shape	of a material; of an object	can be		easily changed										ac40-d9c4-86a2-f4bb
recyclable	means a	material		can be		recycled										f450-c52a-cebe-ac01
	the	properties	of something	can be		used to identify; used to describe	that something									8661-5700-67ef-4ac8
	the	composition	of something	can be		used to identify	that something									f245-df47-6b3e-b4f6
		large fins		can be		used to move quickly						through water				c46f-1a47-b825-6df0
		shale		can be		metamorphosed	into slate			by	increased pressure					f700-0f5f-be06-c22a
		organisms		can be		preserved	in sedimentary rock									198d-4495-e5b7-1477
helping	means	something		can be		done; completed	more easily; better									b7ec-6a4c-7e51-eb10
		paper		can 	not be	melted										0368-ac19-6961-eb96
		one		can		get	something			from	a source					e6fb-12a1-939d-e850
		flowing liquid		can		push	objects									108e-8a75-dafd-6b0e
	an	animal		can		survive	in an environment with little food			by	storing fat					affa-2d72-5000-4e10
	a	hummingbird		can		reach	flowers			by	hovering	in the air				984e-bccb-a608-55b8
		sound		can		travel				through	air					f672-4bbb-6fff-373c
		two females		can	not usually	reproduce						with each other				4484-111e-3dfa-198e
		sunlight		can		shine						through a window				1f7b-30af-4177-e9d5
		bacteria		can		help digest	food					in humans				df29-0616-310f-2dfb
		bats		can		echolocate										6b7f-061c-c3e6-7b6a
		electricity		can 	not	flow through	an open circuit									9454-afc8-6751-3910
		vaccines		can		help prevent	illness									c170-8ed0-d311-238e
		renewable resources		can		be used over again										f290-4de0-34ab-0f52
	the	cells	of multicellular organisms	can		specialize										097c-4fb9-56b6-3b8d
	a	single-cell organism		cannot		specialize										eb36-f98b-9b4f-d15e
	a	single-cell organism		can		survive						without the help of other cells				3c3e-7d13-68ab-07e8
	an	animal		can	not	use	underground water									6c80-eaba-4b68-6003
		something reusable		can be		used more than once										5cac-4930-3622-9502
		light		can		travel				through	a vacuum					0350-5cfd-debd-dee8
		hard objects		can		vibrate						more than soft objects				3d6b-ad3e-adb6-5537
	a	tree		can		be replaced				by	planting a new tree					431d-1679-5bc8-6a2c
	a	renewable resource		can be		replaced										372a-9e36-7f56-af5c
		plant cells		can		perform	photosynthesis									731c-4521-3f2e-d41e
		animal cells		can 	not	perform	photosynthesis									4184-5780-8914-8264
		radiation		can		affect	objects					that are not touching				3274-5890-ead5-c376
		non-contact forces		can		affect	objects					that are not touching				e900-125c-4981-68a5
		magnetism		can		affect	objects					that are not touching				f273-cb72-b4dd-f0ab
	a	renewable resource		can be		renewed										3148-365d-5883-f06c
