PROCESS_NAME	[FILL] means	CONDITION_AGENT/OBJECT	CONDITION_VERB	CONDITION_PATIENT	DURATION	SCOPE	QUALIFIER (rarely/sometimes/usually/always)	[FILL] causes	RESULT_AGENT	RESULT_VERB	RESULT_PATIENT	DURATION	[FILL] for	FOR/PURPOSE	QUANTITY/RANGE	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
		acid					can	cause	chemical change										8224-9b5f-01f9-ba94
		bacteria					sometimes	cause	disease										efa9-d54e-94fb-7f4e
		bacteria					can	cause	people	to become ill									72a4-c6f3-e68c-7836
		bacteria; viruses						cause	food poisoning										5611-cf44-6cd6-2aed
		buildings	collapsing				often	cause	death										3762-b90b-1f83-4068
		chemical	splashing				can	cause		harm	to humans; to the eyes								891a-752f-b9c8-25e1
		chemical reactions						cause	chemical change										0f0d-2cc5-fcc1-3c1f
		chemical reactions						cause	new substances; different substances	to form									3dca-07f2-1404-d404
		cold temperatures; cool temperatures						cause	animals	to shiver									34e8-e10d-e464-de1f
		contact between rocks			over long periods of time			causes	rocks	to smooth									b3f4-9bbd-487f-8643
		crops; farming						cause	nutrients in the soil	to decrease									7dcd-a12c-54b1-a787
		cycles of	freezing and thawing	water				cause		ice wedging									4730-e0f3-6d20-0e0e
		drought					may	cause	wildfires										a603-7574-10cf-966e
	the	Earth	being tilted	on its axis				causes	ones side of the Earth; one hemisphere	to receive	less energy from the Sun					than the other side			31d9-98d7-6a10-9053
	the	Earth	being tilted	on its axis				causes	seasons										0b7b-cf23-e64f-4200
		Earth	orbiting	the Sun				causes	seasons	to change									f59f-261f-52a9-1771
	the	Earth	revolving	around the Sun				causes the	seasons	to change; to occur	on its axis								1cca-1ac1-5bea-5cf6
	the	Earth	revolving			around the sun		causes	stars	to appear 	in different areas in the sky	at different times of year							b018-4375-d391-cb98
	the	Earth	rotating	on its axis				causes 	stars	to appear to move	across the sky	at night							49f5-727d-92b5-03aa
	the	Earth	rotating	on its axis				causes the	sun	to appear to move	across the sky	during the day							73fa-1e22-26a8-1a7c
		Earth's tilt				on its axis		causes	seasons	to change; to occur									66df-2200-f730-17c3
	an	earthquake						causes the	ground	to shake									457d-1a26-5f9e-04e6
		earthquakes	folding	rock layers				causes	older rock	to be on top of	younger rock								3bbf-bcf5-c798-f7e7
		earthquakes						cause	rock layers	to fold						on top of each other			72a7-76e4-7f5d-03ab
		electrical current	running through	a wire				causes	that wire	to heat up; to become warm									3e57-14d2-b5aa-9c07
		electricity						causes	less pollution							than gasoline			c560-8c82-4151-235c
