COUNTRY	[FILL] is located in the	HEMISPHERE (North, South, equatorial region)	[SKIP] COMMENTS		[SKIP] UID
Angola	is located in the	southern hemisphere			8864-98f7-00b0-f612
Botswana	is located in the	southern hemisphere			f5b6-3177-2c38-9ac2
Burundi	is located in the	southern hemisphere			77c0-d908-7692-6b85
Comoros	is located in the	southern hemisphere			8a6b-afe3-4c94-ff2c
Lesotho	is located in the	southern hemisphere			23c9-3f7c-a84e-f188
Madagascar	is located in the	southern hemisphere			54f8-7788-6944-3062
Malawi	is located in the	southern hemisphere			fa35-1103-b845-dbab
Mauritius	is located in the	southern hemisphere			39bf-bb36-34e3-1ae6
Samoa	is located in the	southern hemisphere			10a4-f87c-a7ab-cbbe
Mozambique	is located in the	southern hemisphere			5cc6-1cf0-1bed-c5b5
Namibia	is located in the	southern hemisphere			77e4-9f2a-607b-bb91
Rwanda	is located in the	southern hemisphere			62b1-81b0-f121-9f0a
Seychelles	is located in the	southern hemisphere			7076-5f39-360a-5525
Swaziland	is located in the	southern hemisphere			601b-8a96-578f-98b4
Tanzania	is located in the	southern hemisphere			14f3-33fa-afac-7592
Zambia	is located in the	southern hemisphere			ac9d-0025-2070-de65
Zimbabwe	is located in the	southern hemisphere			7591-45d8-5f0a-2875
Argentina	is located in the	southern hemisphere			e4cf-2cda-966d-32e4
Bolivia	is located in the	southern hemisphere			6d06-fb02-635a-de64
Chile	is located in the	southern hemisphere			5d0b-aad2-695f-91e3
Paraguay	is located in the	southern hemisphere			320f-f77c-6715-1abc
Peru	is located in the	southern hemisphere			b642-f7de-08d0-d954
Uruguay	is located in the	southern hemisphere			e7f6-ea3e-e4a3-527d
Tonga	is located in the	southern hemisphere			760c-5c54-3992-66a4
Tuvalu	is located in the	southern hemisphere			3acb-9fa2-5ab6-b065
Vanuatu	is located in the	southern hemisphere			3a3e-a2f5-76ce-1dd9
Fiji	is located in the	southern hemisphere			297e-7eab-d900-6baa
Nauru	is located in the	southern hemisphere			81da-73e8-f1aa-6717
R̩union (France)	is located in the	southern hemisphere			367d-8192-f22d-fdb1
Mayotte (France)	is located in the	southern hemisphere			a1ad-2fd3-e7aa-c2a5
British Indian Ocean Territory (United Kingdom)	is located in the	southern hemisphere			6491-a632-c20a-0bbb
Heard Island and McDonald Islands (Australia)	is located in the	southern hemisphere			a11b-528a-009c-18c9
East Timor	is located in the	southern hemisphere			8336-1d87-07a8-a631
South Africa	is located in the	southern hemisphere			372a-38ed-c27f-7a66
Antarctica	is located in the	southern hemisphere			e96f-ee38-cd01-3368
Bouvet Island (Norway)	is located in the	southern hemisphere			0cbb-d010-32e7-9c68
French Southern and Antarctic Lands (France)	is located in the	southern hemisphere			f91e-d6f3-87ab-de8a
South Georgia and the South Sandwich Islands (United Kingdom)	is located in the	southern hemisphere			d716-3d25-407f-f9bf
South Orkney Islands (Antarctic Treaty signatories)	is located in the	southern hemisphere			ec18-0ef2-0145-311d
South Shetland Islands (Antarctic Treaty signatories)	is located in the	southern hemisphere			d738-3a4f-a2b8-30b1
American Samoa (United States)	is located in the	southern hemisphere			fb34-70b6-4e6e-ac22
