[FILL] as a/the	QUANTITY/MEASURE	AGENT/ATTRIBUTE	SCOPE	ACTION	PATIENT	CHANGE1	SCOPE	[FILL] ,	[FILL] a/the	QUANTITY/MEASURE	AGENT/ATTRIBUTE	SCOPE	[FILL] will	ACTION	PATIENT	[FILL] will	QUALIFIER	CHANGE2	SCOPE	CONTEXT	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
as	something	that emits light				becomes closer		,			that something		will	appear				brighter				Refactored in table.	8ccc-1b06-5b19-c569
as	roughness	of a surface				increases		,		friction			will					increase					f5db-3d81-10c5-e292
as the	temperature	of a liquid				increases		,			that liquid		will	evaporate				quicker					1a64-71d5-62de-afa4
as the	size	of an object		appears		larger		,			that object		will	be seen;be observed				more easily; better					4aa6-0eac-9f6d-0d0b
as the	distance	of a location	from the North Pole	becomes		smaller; closer		,			that location		will	receive				more daylight	during the summer			Refactored in table.	b388-36b4-c5a9-a748
as the	distance	of a location	from the North Pole	becomes		smaller; closer		,			that location		will	receive				less daylight	during the winter			Refactored in table.	97cb-0839-051e-bddf
as the	temperature	of an object				increases		,	the	size	of that object		will					increase					04fa-aa15-4ac9-8da4
as	altitude					increases		,	the	temperature	of the air		will					decrease					335f-491e-b6bf-7684
as	available water					decreases		,	the	population	of plants		will					decrease					c815-1f8a-8ea2-6492
as	distance		from water			decreases		,			humidity		will					increase					b9e7-6612-b3bc-264a
as the	mass	of an object				increases		, 	the	weight	of that object		will					increase					b676-c9b3-bff8-a5c3
as the	mass	of an object				decreases		,	the	weight	of that object		will					decrease					b5db-599d-c781-5322
as 	population	of prey				decreases		,	the	population	of predators		will 					decrease					fe4b-29a0-b3d1-b929
as	distance		to an object			increases		,			that object		will	appear				smaller					994f-4898-9a1a-659b
as the	temperature	of a liquid				increases		,	the	rate of evaporation	of that liquid		will					increase					cb74-f946-eef2-3ca5
as the	population	of insects				decreases		,	the	population	of lizards		will				likely	decrease		because lizards eat insects			4fc5-071a-fc7a-4e97
as the	size	of a cloud				increases		,	the	amount 	of precipitation	contained in that cloud	will					increase					2e26-d568-7d5a-f4be
as	population	of predators				decreases		,	the	population	of prey		will					increase	in an environment				9e69-e4c7-1f9e-a37e
as the	thickness	of something; of an object				increases		,	the	resistance to damage	of that object; of that something		will					increase					4947-b167-2d68-5a22
as the	temperature	of the ocean				decreases	below 80 degrees F	,	the	strength	of the hurricane		will					decrease					f537-cb3d-0d20-909f
as the	roughness	of something				increases		,	the	friction	of that something		will					increase	when its surface moves against another surface				5301-3197-c9cd-25af
as the	smoothness	of something				increases		,	the	friction	of that something		will					decrease	when its surface moves against another surface				1b40-3366-53ff-d094
as the	amount	of water		received	by a plant	increases		,			that plant		will				usually	grow					f8e4-1e90-0a4f-5fde
as the	thickness	of an object				increases		,	the	resistance	to tearing; to breaking		will					increase					2b0c-392f-5a90-0854
as the	resistance	to something				increases		,		how easilty	that something			can  be done		will		decrease					e067-ed4c-972f-7684
as the		sun				sets		,	the	temperature			will					decrease					7e55-15d2-7655-88f0
