QUALIFIER	[FILL] a/the	AGENT/OCCURRENCE	VERB	OBJECT	QUANTIFIER	[FILL] occurs	FREQUENCY	[FILL] per	TIME_PERIOD	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
each				season		occurs	once	per	year			e172-fe13-821d-196c
each of	the	moon's phases			usually	occurs	once	per	month			06da-bc83-aab7-015f
	a	tree	growing	a tree-growth ring		occurs	once	per	year			2c2b-310a-0ee6-e4a2
		cycles of day and night				occur	once	per	day			a972-0cbb-3c14-b098
	the	sun	rising; setting			occurs	once	per	day			f8be-9407-d60e-6282
	the	moon	orbiting	the Earth	approximately	occurs	13 times	per	year			1a29-2268-eeb7-edba
	a	new season				occurs	once	per	three months			b376-a3d3-5d2e-8fd9
	a	different moon phase				occurs	once	per	week			d1de-2ec6-5323-1c1d
	a	new season				occurs	four times	per	year			3085-e55b-e7a8-fd70
	an	equinox				occurs	twice	per	year			d8c7-06a7-c7ec-8653
	the	moon	rising			occurs	once	per	day			363a-2bcb-006a-ecd5
	a	cycle				happens; occurs	repeatedly					09b4-ea82-86eb-0584
	the	tide cycle			regularly	occurs	twice	per	day			cc3c-b438-6a44-57f6
