[FILL] if/when a/the	ADJ/QUANTITY	THING	SCOPE	[FILL] was/will/usedtobe	QUANTIFIER	ACTION	[FILL] a/the	ADJ/QUANTITY	OBJECT/PATIENT	OBJECT/PROPERTY	SCOPE	[FILL] then / ,	ACTION	[FILL] a/the	ADJ/QUANTITY	ACTOR/AGENT/PROCESS	PROPERTY/SCOPE	[FILL] was/will/usedtobe	QUANTIFIER	ACTION	ADJ/QUANTIFIER	OBJECT/PROPERTY	[FILL] by	BY/THROUGH/HOW	[FILL] for	PURPOSE	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
when the		season				changes						,		the	amount of	daylight		will		change										8a35-c04c-91c8-dfde
when the		seasons				change					from the summer to the fall	,		the	amount of	daylight		will		decrease										27ac-0696-3449-6bd2
if the		environmental temperature; air temperature		is				too		cold		then				an animal; a living thing	in that environment	may become				cold								2460-c937-4e53-293a
if the	amount of available	food and water				decreases					in an environment	then				animals		may		leave		that environment			to	find food and water				93d7-72a4-18fe-e1fe
if		something				undergoes			physical change			then		the		chemical properties	of that something	will		remain	unchanged									36ff-8e28-fa84-d964
when an		electrical conductor		is		plugged into	an	outlet				, 		a		circuit		is		completed										b6b5-6397-aa43-e453
if		electricity				flows along		more than one	pathway			then		the		circuit		is			parallel									0be5-a05c-01aa-32ac
when		something 				breaks						,		a		crack		may		form							in that something			0671-af0e-d6f3-eacf
when	both a dominant and recessive	gene		are						present		,		the	dominant	trait		will be				visible; expressed								9d19-224c-847b-a622
if the	population of	an organism				increases						then		the		ecosystem		may become				overpopulated					with that organism			2ebb-fce7-3fb0-eb17
when an		electrical circuit		is		working				properly		,				electrical current				runs through		that circuit; the wires in that circuit								6384-7501-43b6-e41a
when a		switch	in a simple series circuit	is		closed						,				electricity		will		flow							through the circuit			39b0-5f60-9b23-8892
if		one electrical conductor				contacts			another electrical conductor			then				electricity		will		flow							through both conductors			959a-ab9a-2217-9fac
when a		body of water				receives		more	water		than it can hold	,		a		flood				occurs										6a1a-d4cc-de02-eac6
if an		object		is		kicked						then				force		is		exerted		on that object								01ef-1f36-abd7-9217
if		something		is		made of			something else			then		the		formation	of that something			requires		that something else								cece-3536-a959-42af
when the		temperature	in a building	is						cooler 	than the temperature selected on the thermostat	,		the		furnace		will		turn on							automatically			c69d-96c7-e62a-386e
if the		atmospheric temperature				rises						then		the		glaciers 		will		melt										2511-f015-94c8-0157
if		food		is		cooked						then				heat energy		is		added	to that food									6612-fa0b-cd41-ce24
