PROPERTY	[FILL] is an	EXTENSIVE/INTENSIVE	[SKIP] COMMENTS	[SKIP] UID
color	is an	intensive property		3885-322a-8509-b74c
temperature	is an	intensive property		a0a4-b960-6631-1c3b
density	is an	intensive property		95a8-9d17-fc2e-069e
hardness	is an	intensive property		e788-238b-8464-b4c6
mass; weight	is an	extensive property		1e9c-bb95-3934-82d2
volume	is an	extensive property		f3a4-a6b2-e1d0-7258
shape	is an	extensive property		e347-e59c-af7d-189c
size	is an	extensive property		fa14-fed7-728a-8147
boiling point	is an	intensive property		0f8b-28e6-6305-a476
freezing point	is an	intensive property		c93f-5b27-4efb-2c0c
