[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
the	ability to grow	is a kind of		trait								0d2a-34ad-e231-a167
the	ability to reflect off of a surface	is a kind of		characteristic							Move to PropertiesGeneric?	cc0c-1716-b089-2d07
	absorbing	is a kind of		function								8a87-904f-85e9-deb5
an	acorn	is a kind of		seed								5bfa-ddb1-fcd5-0079
an	adaptation	is a kind of		change								e408-b84f-10e9-cf17
an	adaptation	is a kind of		characteristic								da2b-fb92-41aa-b359
	adding	is a kind of		activity								5663-a8e3-1f5e-df3e
	adding something	is a kind of		change								1a46-09fd-bf55-7001
	air	is a kind of		gas								70ac-58d8-10b4-1313
	air	is a kind of		matter								0b2c-f8af-7823-d253
	air	is a kind of		medium	for	light						ac9a-6d31-d96f-51cd
an	airplane	is a kind of		vehicle								182e-6373-acc4-bde3
an	algae	is a kind of		organism								28d3-fb60-bdd3-d10c
an	alligator	is a kind of	aquatic	animal								5086-b21f-9f0a-e67d
the	Alps	are a kind of	mountain	range								7056-db73-6d86-2bf1
	aluminum	is a kind of		element								4c25-b5f8-13bf-6b86
	aluminum	is a kind of		matter								26a1-5a20-e241-28f1
	aluminum	is a kind of		metal								a580-1b9e-6ec9-a275
	aluminum	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	f5e4-ab86-f5de-6a5f
an	amoeba	is a kind of	single-celled	organism								ab12-f588-a1af-90a0
an	amphibian	is a kind of		animal								3740-c11d-832c-96f2
an	amphibian	is a kind of		vertebrate								0b44-0582-f4ba-58c2
an	anemometer	is a kind of		instrument	for	measuring wind speed						ad64-e231-181e-0684
an	animal	is a kind of		consumer								c799-dee0-451a-dd60
an	animal	is a kind of		living thing								bb63-bcc5-0cd8-72db
an	animal	is a kind of		living thing							Duplicate. All uses deleted.	34b7-df26-54b7-5ad8
an	animal	is a kind of		organism								10ce-c060-90b9-b748
an	animal cell	is a kind of		cell								2702-7db2-6eb1-e03f
an	ant	is a kind of		insect								5079-3873-b0ab-85a3
the	Appalachian Mountains	are a kind of		mountain								4a96-2fb6-33e3-a914
the	Appalachians	are a kind of	mountain	range								b2a3-bc18-29f0-d92b
an	apple	is a kind of		fruit								440e-272e-8e84-6b1e
an	apple	is a kind of		fruit							Duplicate. All uses deleted.	d3b7-af44-8672-5eeb
an	apple tree	is a kind of		plant								00a7-56fc-3c22-e6f2
an	aquatic animal	is a kind of		animal								b80f-f372-967d-6ac4
an	arch	is a kind of		land formation								0c28-b3cd-bb77-d385
the	arctic	is a kind of		environment								c7b7-2fdc-e793-309e
the	arctic 	is a kind of		environment							Duplicate. All uses deleted.	9097-513f-034b-0454
the	Arctic Ocean	is a kind of		ocean								66b8-769e-1915-e8a1
an	Arizona mountain king snake	is a kind of		snake								d5fd-46c9-0da1-cd27
an	arm	is a kind of		limb								a93c-2971-18d2-ebed
an	article of clothing	is a kind of		object								3d61-550e-57ae-b045
	asphalt	is a kind of		road surface								b093-b6c0-74b9-27c2
	astronomy	is a kind of		branch				of science				6932-0017-f9ba-bd0e
the	atmosphere	is a kind of		area								dcb8-493b-65be-44b6
an	atom	is a kind of		object								9863-d20e-e589-510a
	attracting	is a kind of		function; activity								3876-3549-b081-abe3
	August	is a kind of		month								8fbd-c9cc-fe18-e80c
the	automobile	is a kind of		technology								f8ad-6ff2-e6fa-3dee
an	automobile	is a kind of		vehicle								7cb7-40ac-f4d5-eb6c
	Autumn	is a kind of		season								2526-2b72-2cb0-0beb
	avoiding	is a kind of		defense								ac40-1cc5-4994-7922
	avoiding predators; escaping predators; avoiding consumers	is a kind of		protection				Move to PREDATOR-PREY.				9a54-14e7-f8f4-6375
	away	is a kind of		direction								61be-4253-9acc-ea77
a	baby	is a kind of	young	animal								9821-0c40-6f55-0b6d
a	bacterium	is a kind of		decomposer								8c18-8f91-c1ab-742b
a	bacterium	is a kind of		organism								6cd3-9d8e-f58c-d4fc
a	bad reaction to medicine	is a kind of		problem								0de5-48b7-1fb5-acbb
a	balance	is a kind of		instrument	for	measuring mass; measuring weight						fad5-a6d6-cfd6-b9ed
	balancing a ball on one's nose	is a kind of		trick								c2b0-bd30-2dc8-376e
a	ball	is a kind of		object								5650-b213-46ea-d9dd
a	balloon	is a kind of		object								93a8-6f1f-f6e7-e5bc
	bark	is a kind of		sound								74e3-5983-4e66-f53f
a	barometer	is a kind of		instrument							Duplicate. All uses deleted.	51b6-c325-850e-8a22
a	barometer	is a kind of		instrument	for	measuring air pressure						ab9f-bddf-b450-6260
a	bat	is a kind of		animal								7ca2-740e-37f4-0a9e
a	bat	is a kind of		mammal								4e61-2891-e675-3f88
a	battery	is a kind of		object								7149-5022-cd2c-b375
a	beach	is a kind of		habitat; environment								2913-c482-da7e-b2f6
a	beach	is a kind of		location								7a02-3c43-f89e-8b50
a	bean plant	is a kind of		plant								7881-6f75-7de9-2722
a	bear	is a kind of		animal								5639-8136-4788-3ee6
	bedrock	is a kind of		rock								e9d6-4c3d-84ba-0cd0
a	behavior	is a kind of		characteristic								de41-df04-573b-7370
	being made of something	is a kind of		feature							Low quality. All uses deleted.	f1e7-dfb5-ae92-40cc
	being sick	is a kind of		problem; harm								d509-052f-82a6-4c52
a	berry	is a kind of		fruit								0d28-7059-bcd4-0859
a	beverage	is a kind of		food								879e-75ee-34d3-b880
a	beverage	is a kind of		liquid								c06c-117e-c8e2-2750
a	bicycle	is a kind of		object								ab39-00a1-7fb7-b1d1
a	bicycle	is a kind of		vehicle								b019-cdb9-47c8-1c40
	binoculars	are a kind of		instrument	for	observing distant objects						5009-5661-5c6a-ec21
a	biofuel	is a kind of	alternative	energy resource								3352-8265-75b0-3355
a	bird	is a kind of		animal								e26b-b21d-d4a3-25fc
a	bird	is a kind of		animal							Duplicate. All uses deleted.	7f52-3b15-ed6e-171a
a	bird	is a kind of		living thing								c2ef-566c-c356-778f
	birds	are a kind of		predator							Moved to PREDATOR-PREY	5cc8-699f-54e8-acb7
