VERB	THING/PROPERTY	[FILL] is the opposite of	VERB	THING/PROPERTY	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	an increase	is the opposite of		a decrease			bfdf-b468-ee22-1b60
	an insulator	is the opposite of		a conductor			9493-f99f-c366-f5bc
	below	is the opposite of		above			cabb-556b-730d-bbc7
	changed	is the opposite of		unchanged			2dc2-c468-20d4-4a8d
	dark	is the opposite of		light			f487-43a6-3837-b86b
	definite	is the opposite of		variable			b3e1-3703-6490-1530
	different	is the opposite of		the same			86bd-c659-9db3-f443
	dimmer	is the opposite of		brighter			67b1-cfae-5a8e-a28c
dying		is the opposite of	living; surviving				6cac-66f1-b8ce-e7ea
	far	is the opposite of		close			769f-6117-1272-9b62
	incomplete	is the opposite of	complete				7f18-4f2c-c82d-c191
	inherited characteristics	are the opposite of		learned characteristics; acquired characteristics			1ad3-28d4-f347-46a4
keeping	warm	is the opposite of	becoming 	cold			7747-5d53-fc0d-16f3
	larger; bigger	is the opposite of		smaller			e5c0-79e6-37a7-4b77
	less	is the opposite of		more			f0c2-63b1-42a5-416b
reflecting	light; sound	is the opposite of	absorbing	light; sound			9f3b-6ec5-eb1c-178d
	low	is the opposite of		high			34f5-9386-edae-d952
	made by humans	is the opposite of		natural			5072-7d9d-63a0-5042
	near	is the opposite of		far; away			2fb5-7bf0-d5d7-3224
	negative impact	is the opposite of		positive impact			ed09-025e-89b8-d48f
	nonliving; non-living; die	is the opposite of		living; alive; live			3650-2d8d-42b9-299b
	north	is the opposite of	south				239f-1e40-536f-7447
	poor health;bad health;unhealthy	is the opposite of		good health;healthy			6567-a1de-cf55-de30
	renewable	is the opposite of		nonrenewable			3033-d050-eb10-b696
	rough	is the opposite of		smooth			65ea-394c-44cb-2b42
	safe	is the opposite of		harm; danger			fd2d-7763-c40b-59a9
	small	is the opposite of		large			cdf2-1b98-7d70-6ea5
staying	cool	is the opposite of	becoming	hot			f402-34bf-e178-2a72
taking		is the opposite of	leaving				1e0d-885b-8ca3-3c13
	toward	is the opposite of		away			435c-2049-11ca-61c5
planting	trees	is the opposite of	cutting down	trees			aa7b-a050-ec29-97a1
	warm-blooded	is the opposite of		cold-blooded			4581-6e67-e838-1ec2
	wet	is the opposite of		dry			11df-b5ab-f051-1665
	winter	is the opposite of		summer			9fc2-699f-7287-fc0d
contract		is the opposite of	expand				09ab-1fe4-7db0-b767
