[FILL] a/the	PART	QUANTIFIER	[FILL] is a part of	QUANTIFIER	WHOLE	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	adulthood	is	a part of		the life cycle								Moved to STAGE-IN-PROCESS	e222-9ed6-45d6-12f7
the	afternoon	is 	a part of the		day									6349-70d1-a00d-308e
	arms	are	a part of a		person's body	for	manipulating objects							31c9-367f-4e89-4086
the	atmosphere		is a part of		nature; the environment									2f7f-0fc8-1863-e47e
a	backbone	is	a part of a		vertebrate animal									ed5f-9928-2947-21bc
	bacteria	is	a part of		soil									a696-287a-78cf-6b8a
	bark	is	a part of a		tree									555d-d839-0a6b-4a52
a	beach	is usually	part of an		island									713f-c921-0aa1-83b1
a	beak	is	a part of a		bird									5924-9c1d-0eaf-2a30
	blood		is part of the		body	used for	delivering oxygen from the lungs to the rest of the body						Moved to Vehicle-For	bf6a-4c9f-6234-8829
	blood	is	a part of the		circulatory system									e576-3be7-5e76-3b07
	blubber	is often	a part of		sea mammals	for	keeping warm	by	providing thermal insulation					e069-66e7-52de-03e7
a	bone	is	a part of	some	animals									aea0-195f-c237-c935
	bone cells	are	a part of		the body									c049-ad89-f8b6-65d5
a	brain	is	a part of an		animal									aa4b-35f5-0dc1-afbe
the	brain	is	a part of the		body									b29a-9bdd-4596-0296
the	brain	is	a part of the		central nervous system									9adf-5c73-e94c-f250
a	burner	is	a part of a 		stove									7871-bd79-e7cc-a799
a	cactus spine		is a part of a		cactus	for	protecting the cactus from animals							9dd0-2043-666a-aa5f
the	cell membrane	is	a part of a		cell									18c9-8e1d-c07f-850a
a	cell nucleus		is a part of a		cell									88b6-8bff-95aa-75e1
a	cell wall		is a part of a		plant cell	for	supporting and protecting the cell membrane							6c0f-ee50-8f2c-401e
	cells	are	a part of the		body									2167-5f58-b8bb-6a22
	chloroplast	is	a part of a		plant cell									f1b0-1ed6-289e-c065
a	claw	sometimes	is a part of a		predator									59ba-92bd-94af-92fd
a	claw	is often	part of a		bird									06bb-097d-8689-544f
	coal	sometimes	is a part of		the rock cycle								Moved to STAGE-IN-PROCESS	3f37-e32e-cf89-8948
	condensation	is	a part of		the water cycle								Moved to STAGE-IN-PROCESS	8e2a-2018-51f0-ae84
the	continental shelf	is	a part of		the ocean									6a9b-a68f-335c-2a51
the	day time		is part of		one day									4a85-2fef-539d-2162
	decomposition	is	a part of		the carbon cycle								Moved to STAGE-IN-PROCESS	b087-89c4-9efa-b26e
	down		is part of a		young bird									56e3-240f-2f97-378b
an	egg		is part of a		life cycle								Moved to STAGE-IN-PROCESS	583d-877a-1357-8d64
an	electric motor	is 	a part of an		electric fan	for	rotating the vanes			in the fan				4af0-b8cd-15fe-0f8d
the	esophagus		is a part of the		body									546f-b1fd-1583-d394
the	esophagus		is a part of the		digestive system									00f8-d40c-40bb-d78a
	evaporation	is	a part of		the water cycle								Moved to STAGE-IN-PROCESS	7cc2-cadd-f58b-76b6
the	eyes		are part of the		head	used for	seeing							2173-1dd1-fdbb-cf94
	eyes	are usually	part of an animal			for	seeing							e0eb-f67a-6f99-b25b
	eyes		are a part of		a human	for	seeing							ff3b-674b-328e-5e4f
a	face	is often	a part of an		animal									35ef-4ebe-9109-e5aa
