RESOURCE	[FILL] is/are	QUALIFIER	[FILL] a/the	REWABLE/NONRENEWABLE	[FILL] resource	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
soil	is		a	renewable	resource	for	growing plants							1af4-c273-5b80-34e6
water	is		a	renewable	resource									df02-656d-260a-04d5
metal	is		a	nonrenewable	resource									9e1f-a1a8-643b-0b8c
alternative fuel	is	usually	a	renewable	resource									2146-8319-8af6-a8e3
plastic	is		a	nonrenewable	resource									06f5-8cbc-7ae5-111f
wind	is		an	inexhaustible	resource									8aa2-0c1b-b931-8897
fossil fuels	are		a	nonrenewable	resource									0b4c-355e-1cca-d698
aluminum	is		a	nonrenewable	resource									982b-08d3-f40e-289f
coal	is		a	nonrenewable	resource									77f9-749f-9394-ae34
natural gas	is		a	nonrenewable	resource									4cbb-5f96-4d29-b4f5
oil	is		a	nonrenewable	resource									8c18-c36b-a89a-60ec
solar energy	is		an	inexhaustible	resource									24ed-15e8-f3ce-62a2
solar energy	is		a	renewable	resource									f5c3-d141-1a8b-80c9
trees	are		a	renewable	resource									27d4-eb24-0630-19ed
wind	is		a	renewable	resource									0da1-2296-dfe8-6873
wood	is		a	renewable	resource									55b1-a769-b2b4-d023
