[FILL] a/the	ADJ	THING	QUALIFIER	[FILL] is/has	QUALIFIER	MAGNITUDE	VALUE	ATTRIBUTE	SCOPE/RELATIVETO	[FILL] with values between	LOWERBOUND	[FILL] and	UPPERBOUND	UNITS	[FILL] for/to	PURPOSE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
		a part of a living thing		is			a natural	structure											0b7b-e025-3fb7-01dd
an		acid		is			acidic												a83c-9d85-5625-d525
an		airplane		is			fast	in speed											f39e-99d0-faec-c532
		aluminum		is			recyclable	    										Moved to Proto-Prop-Recyclable	bb4e-97eb-b86a-06b9
an		amphibian		has			smooth	skin											d01a-a4c0-abba-7c09
a	poisonous	animal		is			dangerous												3aee-f557-db87-1cce
		asphalt		is a			smooth	surface											201e-3e95-e41a-672d
an		atom		is		exceptionally	small	in size											7caf-566e-855c-469b
		bacteria		is			small; microscopic	in size											dda0-d5ba-63eb-7efa
		bark		is	usually		brown	in color											8bb3-c62b-91dc-4004
a		base		is			basic												0dc5-1599-55c4-d922
the		body of a warm-blooded animal		is	usually		warm	in temperature											c227-44da-44a9-1d09
	hollow	bones		are			lighter	in weight											7e98-a3e5-b8ca-8603
the		bottom of a body of water		is			the deepest												7830-485a-4be0-309b
a		canyon		is			a very big	crack	in the ground										b4a1-2f8f-4c7e-c2e2
a		canyon		is			a very deep	valley											2cbd-efbb-f60c-be22
		car accidents		are			dangerous												b590-a5c1-13d1-7476
		carbon dioxide		is			colorless												b872-e845-39f5-5b25
		carbon monoxide		is			dangerous												647e-2661-236a-2a01
		carpet		has			a rough	surface											5d4c-1f90-7506-34e5
a		carrion flower		has			a carrion-like	smell											ac44-1bc1-1c8d-6525
a		cell		is		very	small												c22d-d40d-4d02-796e
		chlorophyll		is			green	in color											e177-d259-0054-a88b
a	closed	circuit		has			continuous	path											3c9d-e904-586a-2a9d
		concrete		is	usually		a smooth	surface											2bcd-053b-16f1-66e2
a		cushion		is			soft											Moved to Prop-Hardness	fd54-8b0f-b71d-e59c
a		danger		is			dangerous												722f-6492-305c-ddae
a	sunny	day		has 			lots	of sunlight											794f-a751-b0d2-097f
a	cloudy	day		has			little	sunlight											ed6f-25fd-dcd0-1af2
a		desert		has			low	rainfall										Moved to PROP-ENVIRONMENTATTRIB	4970-bab6-3e20-652d
an		desert	usually	has			a lot	of sunlight										Moved to PROP-ENVIRONMENTATTRIB	7c2b-18d1-829c-048c
a		desert	usually	is			hot	in temperature										Moved to PROP-ENVIRONMENTATTRIB	2ce9-8375-8a58-750f
a		desk		is	usually		short	in height; in width											0100-2f53-c324-81e2
a		desk	usually	has a				length		with values between	50	and	250	cm					389e-42be-0a2b-0683
		desserts	usually	have			less 	nutrients	than other foods										d716-961b-dfd9-e792
a	face	dimple		is			depressed; indented	in shape											87a1-9fd1-636a-072d
a		drop		is			a small	amount of liquid											1383-98fd-54fa-3ce4
a		dwarf planet		is	usually	much	smaller	in size; in mass	than other planets										447e-1243-6d4e-e9e1
		Earth		has			a rocky	terrain	in some places										ded1-6066-fabd-b5ad
a	warm	environment	usually	has			more	food	than a cold environment										7f54-4f3b-f1fc-91aa
	cold	environments	usually	have			little	food							for	animals			aa49-4312-5751-0a4e
a	ball	field		is			open; grassy												f341-ffff-8752-ebe0
a		fingerprint		is			small	in size											39c0-522a-11a2-3a53
		floodplains		are			flat	in shape											c1af-f272-25af-a368
		flowers	often	have a			sweet	smell							to	attract pollinators			6f76-c3b2-2312-e50c
	fresh	food		is	usually		safe	to eat											c9d3-5f71-de10-2716
a	dense	forest		is	often		dark	in color										Moved to PROP-ENVIRONMENTATTRIB	e01d-a57c-e5db-71a7
a		forest		is	often		green	in color										Moved to PROP-ENVIRONMENTATTRIB	58bb-e912-bc25-5d3b
a		forest		receives			more	rainfall	than a desert									Moved to PROP-ENVIRONMENTATTRIB	5398-a3f9-1ecf-29b4
a		freezer		is			cool; cold	in temperature 											a7e7-4c34-fac1-a502
	white	fur		is			white	in color											9ed5-f4a8-9357-2763
		grass		is			a rough	surface											05fc-1029-d104-3be1
		grass		is			green	in color											c683-bb38-4c18-252e
a		grassland		receives			more	rainfall	than a desert									Moved to PROP-ENVIRONMENTATTRIB	a339-d450-6ac8-fc73
