SUBDIVISION	[FILL] is a 	TYPE OF SUBDIVISION	[FILL] located in	COUNTRY	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
New South Wales	is a	state	located in	Australia			5142-624c-73cd-8e61
Alabama	is a	state	located in	the United States of America			61b2-4ff2-b8e9-53b7
Alaska	is a	state	located in	the United States of America			be77-688f-2811-7d8f
Arizona	is a	state	located in	the United States of America			3562-880e-c18b-67a9
Arkansas	is a	state	located in	the United States of America			69e2-78ea-971a-8715
California	is a	state	located in	the United States of America			0409-e9e6-43fb-ed4c
Colorado	is a	state	located in	the United States of America			ba44-4219-cc05-7991
Connecticut	is a	state	located in	the United States of America			0143-892a-7798-69cf
Delaware	is a	state	located in	the United States of America			553c-a2da-c595-32f8
Florida	is a	state	located in	the United States of America			75ef-1899-b218-e7e9
Georgia	is a	state	located in	the United States of America			c3a9-6efc-145f-5a05
Hawaii	is a	state	located in	the United States of America			a94f-4663-a584-e17a
Idaho	is a	state	located in	the United States of America			390a-359c-9bb2-5d5a
Illinois	is a	state	located in	the United States of America			1c68-9816-f8c4-926a
Indiana	is a	state	located in	the United States of America			de65-7a12-0038-0f76
Iowa	is a	state	located in	the United States of America			a63d-dc15-6fba-14d0
Kansas	is a	state	located in	the United States of America			bb8d-9bf9-c250-b6f5
Kentucky	is a	state	located in	the United States of America			3a53-b23e-76bc-3f55
Louisiana	is a	state	located in	the United States of America			9b58-03b6-c704-66bc
Maine	is a	state	located in	the United States of America			96c2-b5bf-0822-0d8e
Maryland	is a	state	located in	the United States of America			4279-cec0-567b-1d69
Massachusetts	is a	state	located in	the United States of America			f62b-71c3-882e-dcd9
Michigan	is a	state	located in	the United States of America			b1e5-54e0-a42f-41bb
Minnesota	is a	state	located in	the United States of America			62ae-81c1-d76c-67e5
Mississippi	is a	state	located in	the United States of America			ada7-0fab-c1e3-99d7
Missouri	is a	state	located in	the United States of America			5ae7-00f9-92ab-6061
Montana	is a	state	located in	the United States of America			97ac-2ef4-1ffd-17b7
Nebraska	is a	state	located in	the United States of America			b369-4218-5820-77a1
Nevada	is a	state	located in	the United States of America			e30b-6621-73f9-b0a3
New Hampshire	is a	state	located in	the United States of America			dcc6-24bd-da16-1dd3
New Jersey	is a	state	located in	the United States of America			3efe-8681-5195-db12
New Mexico	is a	state	located in	the United States of America			0085-8387-e36a-9955
New York; New York State	is a	state	located in	the United States of America			90a3-648e-1622-edc2
North Carolina	is a	state	located in	the United States of America			4193-6358-c6ae-76e5
North Dakota	is a	state	located in	the United States of America			4923-b78f-3eee-3a79
Ohio	is a	state	located in	the United States of America			75ad-f2bb-fa6b-12cc
Oklahoma	is a	state	located in	the United States of America			a05c-004d-1038-aaac
Oregon	is a	state	located in	the United States of America			eb10-2b77-ec8b-34ca
Pennsylvania	is a	state	located in	the United States of America			ddcc-b61d-5aa2-a7fe
RhodeIsland	is a	state	located in	the United States of America			3582-e9a2-b995-720c
South Carolina	is a	state	located in	the United States of America			3db5-e122-e506-93c3
South Dakota	is a	state	located in	the United States of America			cec0-9ea0-8d15-7eb0
Tennessee	is a	state	located in	the United States of America			e660-269c-8499-0d37
Texas	is a	state	located in	the United States of America			5111-2684-0763-8476
Utah	is a	state	located in	the United States of America			6e42-675b-593e-ba2f
Vermont	is a	state	located in	the United States of America			01bd-b156-cb97-45fe
Virginia	is a	state	located in	the United States of America			3c62-b180-5494-ab94
Washington; Washington State	is a	state	located in	the United States of America			f540-dfa2-3fd4-de61
West Virginia	is a	state	located in	the United States of America			26f2-8b07-3ea1-cbb1
Wisconsin	is a	state	located in	the United States of America			9f77-2244-23fd-6a74
Wyoming	is a	state	located in	the United States of America			8085-caf1-c71c-4a85
District of Columbia; Washington, District of Columbia; Washington, D.C.	is a	federal district	located in	the United States of America			9f5a-15d6-e1a8-3082
Ontario	is a	province	located in	Canada			f1f5-5322-705e-a4c4
Quebec	is a	province	located in	Canada			d368-8580-5479-5c8b
Nova Scotia	is a	province	located in	Canada			0e70-5148-3ebd-4a9c
New Brunswick	is a	province	located in	Canada			48b5-e87c-68e2-eb84
Manitoba	is a	province	located in	Canada			fa1b-5904-81c9-7cd9
British Columbia	is a	province	located in	Canada			f158-a131-1234-57bc
Prince Edward Island	is a	province	located in	Canada			cd2a-f627-279d-3bba
Saskatchewan	is a	province	located in	Canada			a78a-08f8-6174-bf78
Alberta	is a	province	located in	Canada			9f86-7856-9702-bbc1
Newfoundland and Labrador	is a	province	located in	Canada			46b6-cf3c-0f01-86e8
Northwest Territories	is a	territory	located in	Canada			b54b-4f12-4e6c-c666
Yukon	is a	territory	located in	Canada			beca-276c-dcc6-e2c9
Nunavut	is a	territory	located in	Canada			9201-ee12-7837-3365
Bedfordshire	is a	county	located in	England			a15a-56e5-208f-ea91
Berkshire	is a	county	located in	England			603e-faf3-0773-fbbc
Buckinghamshire	is a	county	located in	England			6c64-499a-def6-a9ee
Cambridgeshire	is a	county	located in	England			4c2a-7d31-b610-be8b
Cheshire	is a	county	located in	England			c8f1-d369-544f-af69
Cornwall	is a	county	located in	England			e338-c260-8eca-65bc
Cumbria (Cumberland)	is a	county	located in	England			9f0c-3e27-65ba-c359
Derbyshire	is a	county	located in	England			c515-128b-0639-a74b
Devon	is a	county	located in	England			9a9b-7939-0924-ab41
Dorset	is a	county	located in	England			5c77-e546-d9d1-fc0d
Durham	is a	county	located in	England			45bb-8b0b-4a93-03fe
Essex	is a	county	located in	England			8efc-e359-3400-ea81
Gloucestershire	is a	county	located in	England			7000-e89c-1a14-76e9
Hampshire	is a	county	located in	England			af68-fc1f-632b-4e6a
Hertfordshire	is a	county	located in	England			0d64-c8c0-7dc0-31bb
Huntingdonshire	is a	county	located in	England			3c75-b926-aee0-0ac4
Kent	is a	county	located in	England			e3e3-6d86-282d-e406
Lancashire	is a	county	located in	England			ce74-e4d1-c053-17e8
Leicestershire	is a	county	located in	England			80ab-7cf1-2382-d9a1
Lincolnshire	is a	county	located in	England			f91c-1db8-5d3d-088b
Middlesex	is a	county	located in	England			e2a8-f979-ace0-e81e
Norfolk	is a	county	located in	England			ec5e-8999-6243-9a53
Northamptonshire	is a	county	located in	England			0fbb-a8c2-9806-8d0d
Northumberland	is a	county	located in	England			6fc5-9693-e172-a5f7
Nottinghamshire	is a	county	located in	England			8452-d21f-3c24-0d5f
Oxfordshire	is a	county	located in	England			075e-abe3-eed7-2892
Rutland	is a	county	located in	England			6efa-a1ea-7516-c860
Shropshire	is a	county	located in	England			2d8d-0a86-c7f3-216f
Somerset	is a	county	located in	England			f6cc-2447-a8d0-22f6
Staffordshire	is a	county	located in	England			b9c0-30ac-76ff-1624
Suffolk	is a	county	located in	England			ac0c-d155-9d22-c9f9
Surrey	is a	county	located in	England			31e5-39ee-449b-b373
Sussex	is a	county	located in	England			5869-0bac-0571-4e11
Warwickshire	is a	county	located in	England			fa39-2f24-958e-8b4d
Westmoreland	is a	county	located in	England			8fd1-cc47-8c1f-bbdb
Wiltshire	is a	county	located in	England			0022-5050-6094-5e18
Worcestershire	is a	county	located in	England			96de-e3f4-c2a1-9014
Yorkshire	is a	county	located in	England			8dac-e5c2-dde4-8be4
Anglesey	is a	county	located in	Wales			6c40-b1aa-9e38-59f1
Brecknockshire	is a	county	located in	Wales			60ac-d7e0-89de-246f
Caernarfonshire	is a	county	located in	Wales			5a97-7302-7a66-dd0c
Carmarthenshire	is a	county	located in	Wales			1b9d-b157-65c6-7381
Cardiganshire	is a	county	located in	Wales			0bf0-4e97-7435-5341
Denbighshire	is a	county	located in	Wales			4e4a-ab77-05cf-2c22
Flintshire	is a	county	located in	Wales			e9a8-4601-fa95-20fe
Glamorgan	is a	county	located in	Wales			d7b2-b410-6f0d-0dc0
Merioneth	is a	county	located in	Wales			45c8-efd3-c9d4-fb86
Monmouthshire	is a	county	located in	Wales			f559-a3fe-67aa-cb7d
Montgomeryshire	is a	county	located in	Wales			4636-02e6-6d0c-6d07
Pembrokeshire	is a	county	located in	Wales			432c-8777-fd14-f41c
