X	ACTION	Y	[FILL] is synonymous with/means	X	ACTION	Y	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
a boat			is similar to	a ship					2e50-5461-745a-36ee
a cable			is similar to	a wire					e77b-df5f-c14c-c531
a climate			is synonymous with	an environment 					0696-4d28-5530-2f95
a component of something			means	a part of that something					7743-074e-340e-e2e9
a computer	controlling	a robot	is similar to	a brain	controlling	a human body			d9d2-f2b1-7891-153d
a concern; a problem			is	a possible negative impact				Move to AFFECT ?	d055-74a0-b787-57b8
a demonstration			is similar to	an example					f7cb-5d13-2753-d89d
a function			is	an activity					cedb-3691-d453-fabe
a good conductor			is	a conductor					7f34-d679-9088-bc21
a half of Earth			is	a hemisphere of Earth					4ba2-35d1-c2d9-ca91
a hand lens; a magnifying lens			is synonymous with	a magnifying glass					ad83-d37c-9b46-94cd
a hare			is similar to	a rabbit					de78-b97b-5963-fb87
a kind of something			is	an example of that something					1b3f-b617-d7ef-1815
a part of something			means	a characteristic of something					e6ee-3492-89ae-73d8
a plant			is	a member of a plant species					fb5f-417c-8bf2-037e
a positive impact			is 	a benefit					d0e2-806e-adad-7e98
a positive impact			is	a helpful effect					1f4c-09cb-8d13-2701
a property of something			is	a feature of that something					73e8-63d3-28a9-7f8e
a region			is similar to	an environment					91cc-2488-b3f3-beac
a renewable resource			is	a natural resource				FALSE, not equal. 	462f-0e75-97ec-060c
a result of something			is	evidence of that something					b3ff-b14c-becf-25b6
a role in the ecosystem			is	a role in the food chain process					25c2-cd2a-8053-4695
a sharp sense			is	an enhanced sense					8f95-5431-bea6-4649
a sign of something			is	evidence of that something					d21d-46cd-1480-2250
a structure of something			is synonymous with	a part of that something					3d76-6d66-4a17-7ae2
a type			is synonymous with	a kind					db0b-31a1-91ab-6996
a vibration			is similar to	a wave					9072-0c5d-d333-d1ce
action			means	activity					2479-774e-9ef8-d595
all the other			means	the rest of					6328-829b-22db-6428
amount			is similar to	number					c0f6-a9cd-57b3-ae50
amount of daylight			means	length of daylight					63b4-4d77-7768-da8c
an adaptation			is	an advantage					c807-08b5-6f5d-e86a
an adaptation			is	an adaptive feature					6f25-0200-16e0-4389
an animal			is	a member of an animal species					3f4c-c241-6217-60ff
an area	receiving	rain	means	rain	falling	in that area			94f1-7e8b-5438-dfdb
an environment			is similar to	an ecosystem					c1d3-4ab4-b443-aac3
an environment			means	an area					1240-2639-9a5f-96cd
an inherited characteristic			is	an acquired characteristic				Not true. No uses. 	ecd5-7900-cafd-a816
an object			is	an item					d326-a597-1e70-347e
an organism			is	a living thing					87a0-dd02-dd6d-ee60
	to anchor		means		to provide	support			42d5-c036-5d21-b206
animal instinct			means	instinctive behavior					a0d1-5016-59b4-faaa
annual			means	once per year					4e76-f56b-867d-34d3
another			means	different					5457-5b8e-eb6c-aea1
apart			means	away					6e81-2024-ba28-312f
appliance			is similar to	technology					2d70-7bf6-5bc2-e3f2
approximately			means	about					1a4b-82df-0613-5268
aquatic animal			means	water animal					dfda-0bf5-6a91-6d09
area			is similar to	location					9f7e-705f-3053-4c6b
astronomy			is	the study		of space; of celestial bodies		DEPRECATED: Relationship is more complex than SYNONYMY ? 	ada1-d625-8fda-f911
atmosphere			means 	air					9568-cc75-424d-e775
average			is similar to	usual					f5fa-f560-be88-5c62
beneficial			means	helpful					8641-2ccd-4c11-a122
best			means	most positive					20e2-689d-b7c6-528a
better	look		means		see	better			2296-98bd-73b5-1679
bike			means	bicycle					3625-df10-23fc-2223
blacktop			means	asphalt					26f3-c715-9750-2ff7
blossoms			means	flowers					a03b-45d7-093c-40f0
boiling point			means	temperature	at which a liquid boils; above which a liquid boils				73e5-00b0-22fd-e34e
boiling point			is	the highest temperature	a liquid can reach				cb9b-7410-93c7-2adf
both			means	two					4dc0-19c7-104a-0ddf
the bottom			is	the lowest part of something					55a5-73d4-c1b1-e55b
buoyant			means	able to float in a liquid or gas					1603-cc51-e120-065e
Camouflage			is synonymous with	visual disguise					225b-9d13-f6b0-4da1
carrion			means		rotting	meat; flesh			0ff3-af70-ba28-efc5
cellular respiration			is	cellular digestion					2ede-65e6-e727-d345
characteristic			means	property					b605-9c58-598d-817e
children; young			is synonymous with	offspring					00fd-04c0-5805-8b81
CO2			means	carbon dioxide					01a8-2f77-9145-2ab3
coastline			means	coast					4f91-092a-029b-64a8
coat			means	fur coat					4483-54ea-1288-2d72
coloration			means	a thing's color					b756-83bc-074d-62a2
colorless			means	no color					140f-03da-a4ce-9f45
a component			means	a part of					10d3-297c-e0e5-8531
	construction		means		building				eb54-6da1-4c1e-fb6a
	to convert		means		to change				72a6-1822-575b-e849
cooler			means		colder				bf2d-aa23-f737-e69c
cure			means	solution to being sick					16ea-bfa4-07c6-c55d
curiosity			means	the need	to know	new information			b28b-5ea8-bdf1-0faf
current			means	electric current					1058-66b0-4e23-6cf9
daily			means	every day; once per day					9318-8c1b-0902-d588
data			means	information					3bbb-b092-18ed-1a8a
daylight			means	sunlight					81a9-8f8a-02ee-4dbc
daylight hours			means	time during which there is daylight					4b1a-b0f4-764e-a79c
daytime			means	day					4045-4262-fa1f-160f
dead			means	not alive					42ee-7009-131f-4719
death			means		to die				f3f5-fefd-3507-4a59
deforested area			means	an area where trees	have been cut down				58fb-4d30-982b-787b
destruction			means	to destroy					0bc7-4574-ceb9-5aa0
destruction			means	loss					c388-ad58-2f0e-74b4
device			means	tool					de25-e9d6-aced-d88e
diet			means	what an animal	eats				b588-365f-7c0a-2c55
difficulty	seeing		means	visibility	decreases				31be-afe3-6b4d-fa2d
dirt			means	soil					8480-1ad7-af0d-15e0
disappeared			is similar to	gone					be79-d370-85cf-8ca6
downhill			means	down					63ed-e261-2225-2e65
downward			means	down					1632-346e-67a5-b1b8
a droplet			is	a small amount of liquid				Moved to Proto-Prop-Things	b7f1-a07f-4e97-f2fe
dry			means	low in moisture; low in wetness				Moved to AVR.	aefe-0d0f-bb2e-5199
due to			means	caused by					fae5-1f95-1138-9bc4
each			is similar to	individual					a471-beb6-2026-401e
Earth's plates			means	tectonic plates					75e6-403b-649e-cce8
electrical current			means	electrical energy					a505-f059-e395-cad8
electricity			means	electrical energy					5657-c6bc-e6cd-ae38
endangered			means	low population				moved to AVR	0fef-7e32-1ffb-c146
exercise			means	physical fitness					fd56-73df-1f6f-e1bc
fall			means	autumn					6145-6448-7c22-836f
